"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 10 23:57:42 YEKT 2025","Tue Jun 10 23:57:44 YEKT 2025","1487","src.tests","test_faq","","","","test_each_faq_question[7-\u0414\u0430, \u043e\u0431\u044f\u0437\u0430\u0442\u0435\u043b\u044c\u043d\u043e. \u0412\u0441\u0435\u043c \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u043e\u0432! \u0418 \u041c\u043e\u0441\u043a\u0432\u0435, \u0438 \u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u043e\u0439 \u043e\u0431\u043b\u0430\u0441\u0442\u0438.]",""
"passed","Tue Jun 10 23:57:04 YEKT 2025","Tue Jun 10 23:57:05 YEKT 2025","1602","src.tests","test_faq","","","","test_each_faq_question[3-\u0422\u043e\u043b\u044c\u043a\u043e \u043d\u0430\u0447\u0438\u043d\u0430\u044f \u0441 \u0437\u0430\u0432\u0442\u0440\u0430\u0448\u043d\u0435\u0433\u043e \u0434\u043d\u044f. \u041d\u043e \u0441\u043a\u043e\u0440\u043e \u0441\u0442\u0430\u043d\u0435\u043c \u0440\u0430\u0441\u0442\u043e\u0440\u043e\u043f\u043d\u0435\u0435.]",""
"passed","Wed Jun 11 12:54:11 YEKT 2025","Wed Jun 11 12:54:13 YEKT 2025","1516","src.tests","FAQ Блок","TestFAQ","","","Проверка вопроса FAQ #0",""
"passed","Tue Jun 10 23:57:33 YEKT 2025","Tue Jun 10 23:57:34 YEKT 2025","1508","src.tests","test_faq","","","","test_each_faq_question[6-\u0414\u0430, \u043f\u043e\u043a\u0430 \u0441\u0430\u043c\u043e\u043a\u0430\u0442 \u043d\u0435 \u043f\u0440\u0438\u0432\u0435\u0437\u043b\u0438. \u0428\u0442\u0440\u0430\u0444\u0430 \u043d\u0435 \u0431\u0443\u0434\u0435\u0442, \u043e\u0431\u044a\u044f\u0441\u043d\u0438\u0442\u0435\u043b\u044c\u043d\u043e\u0439 \u0437\u0430\u043f\u0438\u0441\u043a\u0438 \u0442\u043e\u0436\u0435 \u043d\u0435 \u043f\u043e\u043f\u0440\u043e\u0441\u0438\u043c. \u0412\u0441\u0435 \u0436\u0435 \u0441\u0432\u043e\u0438.]",""
"passed","Tue Jun 10 23:56:35 YEKT 2025","Tue Jun 10 23:56:37 YEKT 2025","1688","src.tests","test_faq","","","","test_each_faq_question[0-\u0421\u0443\u0442\u043a\u0438 \u2014 400 \u0440\u0443\u0431\u043b\u0435\u0439. \u041e\u043f\u043b\u0430\u0442\u0430 \u043a\u0443\u0440\u044c\u0435\u0440\u0443 \u2014 \u043d\u0430\u043b\u0438\u0447\u043d\u044b\u043c\u0438 \u0438\u043b\u0438 \u043a\u0430\u0440\u0442\u043e\u0439.]",""
"passed","Tue Jun 10 23:58:06 YEKT 2025","Tue Jun 10 23:58:12 YEKT 2025","6137","src.tests","test_order","","","","test_order_full_flow[False-\u041c\u0430\u0440\u0438\u044f-\u0421\u0438\u0434\u043e\u0440\u043e\u0432\u0430-\u0423\u043b. \u041f\u0443\u0448\u043a\u0438\u043d\u0430, \u0434.10-\u041a\u0443\u0440\u0441\u043a\u0430\u044f-+79876543210-2025-06-21-\u0434\u0432\u043e\u0435 \u0441\u0443\u0442\u043e\u043a-False-]",""
"passed","Wed Jun 11 12:54:30 YEKT 2025","Wed Jun 11 12:54:32 YEKT 2025","1443","src.tests","FAQ Блок","TestFAQ","","","Проверка вопроса FAQ #2",""
"passed","Wed Jun 11 12:54:21 YEKT 2025","Wed Jun 11 12:54:22 YEKT 2025","1644","src.tests","FAQ Блок","TestFAQ","","","Проверка вопроса FAQ #1",""
"passed","Wed Jun 11 12:54:59 YEKT 2025","Wed Jun 11 12:55:00 YEKT 2025","1424","src.tests","FAQ Блок","TestFAQ","","","Проверка вопроса FAQ #5",""
"passed","Tue Jun 10 23:56:54 YEKT 2025","Tue Jun 10 23:56:56 YEKT 2025","1523","src.tests","test_faq","","","","test_each_faq_question[2-\u0414\u043e\u043f\u0443\u0441\u0442\u0438\u043c, \u0432\u044b \u043e\u0444\u043e\u0440\u043c\u043b\u044f\u0435\u0442\u0435 \u0437\u0430\u043a\u0430\u0437 \u043d\u0430 8 \u043c\u0430\u044f. \u041c\u044b \u043f\u0440\u0438\u0432\u043e\u0437\u0438\u043c \u0441\u0430\u043c\u043e\u043a\u0430\u0442 8 \u043c\u0430\u044f \u0432 \u0442\u0435\u0447\u0435\u043d\u0438\u0435 \u0434\u043d\u044f. \u041e\u0442\u0441\u0447\u0451\u0442 \u0432\u0440\u0435\u043c\u0435\u043d\u0438 \u0430\u0440\u0435\u043d\u0434\u044b \u043d\u0430\u0447\u0438\u043d\u0430\u0435\u0442\u0441\u044f \u0441 \u043c\u043e\u043c\u0435\u043d\u0442\u0430, \u043a\u043e\u0433\u0434\u0430 \u0432\u044b \u043e\u043f\u043b\u0430\u0442\u0438\u0442\u0435 \u0437\u0430\u043a\u0430\u0437 \u043a\u0443\u0440\u044c\u0435\u0440\u0443. \u0415\u0441\u043b\u0438 \u043c\u044b \u043f\u0440\u0438\u0432\u0435\u0437\u043b\u0438 \u0441\u0430\u043c\u043e\u043a\u0430\u0442 8 \u043c\u0430\u044f \u0432 20:30, \u0441\u0443\u0442\u043e\u0447\u043d\u0430\u044f \u0430\u0440\u0435\u043d\u0434\u0430 \u0437\u0430\u043a\u043e\u043d\u0447\u0438\u0442\u0441\u044f 9 \u043c\u0430\u044f \u0432 20:30.]",""
